"Pixel","Site","pixel_color","Lat_wgs","Lon_wgs","PFT_Mode","Type","Mode_Percentage","Heterogeneity_PFT","pft","Lat_sin","Lon_sin","pt1_lat","pt1_lon","pt2_lat","pt2_lon","pt3_lat","pt3_lon","pt4_lat","pt4_lon","pt5_lat","pt5_lon"
"44_43","NEON.D03.DSNY.DP1.00033","#FF0000FF",28.1250297334828,-81.4383788337966,"Agriculture","250m",0.948210482572334,2,9,3127364.14305951,-7986275.27529747,28.1259473703484,-81.4394193360331,28.1259473703484,-81.4373383315601,28.1241120887616,-81.4373383315601,28.1241120887616,-81.4394193360331,28.1259473703484,-81.4394193360331
"44_44","NEON.D03.DSNY.DP1.00033","#FF4D00FF",28.1250297334828,-81.4362978293236,"Agriculture","250m",1,1,9,3127364.14305951,-7986071.20106603,28.1259473703484,-81.4373383315601,28.1259473703484,-81.4352573270872,28.1241120887616,-81.4352573270872,28.1241120887616,-81.4373383315601,28.1259473703484,-81.4373383315601
"44_45","NEON.D03.DSNY.DP1.00033","#FF9900FF",28.1250297334828,-81.4342168248508,"Agriculture","250m",1,1,9,3127364.14305951,-7985867.1268346,28.1259473703484,-81.4352573270872,28.1259473703484,-81.4331763226143,28.1241120887616,-81.4331763226143,28.1241120887616,-81.4352573270872,28.1259473703484,-81.4352573270872
"43_45","NEON.D03.DSNY.DP1.00033","#FFE500FF",28.1268649993582,-81.4342168248508,"Wetland","250m",0.574897360703812,2,9,3127568.21554391,-7985730.39528071,28.127782620512,-81.4352573270872,28.127782620512,-81.4331763226143,28.1259473703484,-81.4331763226143,28.1259473703484,-81.4352573270872,28.127782620512,-81.4352573270872
"43_44","NEON.D03.DSNY.DP1.00033","#CCFF00FF",28.1268649993582,-81.4362978293236,"Agriculture","250m",0.868243727598566,3,9,3127568.21554391,-7985934.46601805,28.127782620512,-81.4373383315601,28.127782620512,-81.4352573270872,28.1259473703484,-81.4352573270872,28.1259473703484,-81.4373383315601,28.127782620512,-81.4373383315601
"43_43","NEON.D03.DSNY.DP1.00033","#80FF00FF",28.1268649993582,-81.4383788337966,"Wetland","250m",0.662456826327794,3,9,3127568.21554391,-7986138.53675539,28.127782620512,-81.4394193360331,28.127782620512,-81.4373383315601,28.1259473703484,-81.4373383315601,28.1259473703484,-81.4394193360331,28.127782620512,-81.4394193360331
"45_43","NEON.D03.DSNY.DP1.00033","#33FF00FF",28.123194436185,-81.4383788337966,"Agriculture","250m",0.758918214402085,2,9,3127160.06708109,-7986412.00798648,28.1241120887616,-81.4394193360331,28.1241120887616,-81.4373383315601,28.1222767757531,-81.4373383315601,28.1222767757531,-81.4394193360331,28.1241120887616,-81.4394193360331
"45_44","NEON.D03.DSNY.DP1.00033","#00FF19FF",28.123194436185,-81.4362978293236,"Agriculture","250m",1,1,9,3127160.06708109,-7986207.9302611,28.1241120887616,-81.4373383315601,28.1241120887616,-81.4352573270872,28.1222767757531,-81.4352573270872,28.1222767757531,-81.4373383315601,28.1241120887616,-81.4373383315601
"45_45","NEON.D03.DSNY.DP1.00033","#00FF66FF",28.123194436185,-81.4342168248508,"Agriculture","250m",0.985246008471815,2,9,3127160.06708109,-7986003.85253572,28.1241120887616,-81.4352573270872,28.1241120887616,-81.4331763226143,28.1222767757531,-81.4331763226143,28.1222767757531,-81.4352573270872,28.1241120887616,-81.4352573270872
