"date","pixel","evi_raw","evi_qc","type","evi_filtered"
2004-06-09,"44_43",0.4401,2112,"TERA",NA
2004-06-25,"44_43",0.4238,4233,"TERA",NA
2004-07-11,"44_43",0.4455,2181,"TERA",NA
2004-07-27,"44_43",0.5847,4110,"TERA",NA
2004-08-12,"44_43",0.3931,2112,"TERA",NA
2004-08-28,"44_43",0.3787,35217,"TERA",NA
2004-09-13,"44_43",NA,37141,"TERA",NA
2004-09-29,"44_43",0.3151,4160,"TERA",NA
2004-10-15,"44_43",0.3645,4164,"TERA",NA
2004-10-31,"44_43",0.3204,2112,"TERA",NA
2004-11-16,"44_43",0.2848,2112,"TERA",NA
2004-12-02,"44_43",0.272,2112,"TERA",NA
2004-12-18,"44_43",0.2648,4164,"TERA",NA
2005-01-01,"44_43",0.274,4365,"TERA",NA
2005-01-17,"44_43",0.233,2112,"TERA",NA
2005-02-02,"44_43",0.2052,2112,"TERA",NA
2005-02-18,"44_43",0.223,2112,"TERA",NA
2005-03-06,"44_43",0.2283,2112,"TERA",NA
2005-03-22,"44_43",0.2903,2112,"TERA",NA
2005-04-07,"44_43",0.2647,4164,"TERA",NA
2005-04-23,"44_43",0.3054,2112,"TERA",NA
2005-05-09,"44_43",0.3408,2372,"TERA",NA
2005-05-25,"44_43",0.3155,4106,"TERA",NA
2005-06-10,"44_43",0.2506,2441,"TERA",NA
2005-06-26,"44_43",0.2766,4233,"TERA",NA
2005-07-12,"44_43",0.3369,2372,"TERA",NA
2005-07-28,"44_43",0.2482,2181,"TERA",NA
2005-08-13,"44_43",0.2327,2112,"TERA",NA
2005-08-29,"44_43",0.4696,4164,"TERA",NA
2005-09-14,"44_43",0.3896,4301,"TERA",NA
2005-09-30,"44_43",0.3005,3094,"TERA",NA
2005-10-16,"44_43",0.3822,4160,"TERA",NA
2005-11-01,"44_43",0.3621,4160,"TERA",NA
2005-11-17,"44_43",0.2632,2112,"TERA",NA
2005-12-03,"44_43",0.3112,2112,"TERA",NA
2005-12-19,"44_43",0.2164,2116,"TERA",NA
2006-01-01,"44_43",0.228,2112,"TERA",NA
2006-01-17,"44_43",0.1812,4160,"TERA",NA
2006-02-02,"44_43",0.2087,2112,"TERA",NA
2006-02-18,"44_43",0.2152,2112,"TERA",NA
2006-03-06,"44_43",0.2599,2112,"TERA",NA
2006-03-22,"44_43",0.3336,2112,"TERA",NA
2006-04-07,"44_43",0.3281,2112,"TERA",NA
2006-04-23,"44_43",0.289,2112,"TERA",NA
2006-05-09,"44_43",0.3871,2112,"TERA",NA
2006-05-25,"44_43",0.3069,2112,"TERA",NA
2006-06-10,"44_43",0.309,2514,"TERA",NA
2006-06-26,"44_43",0.4361,2441,"TERA",NA
2006-07-12,"44_43",0.3813,2112,"TERA",NA
2006-07-28,"44_43",0.3196,34888,"TERA",NA
2006-08-13,"44_43",0.4173,2441,"TERA",NA
2006-08-29,"44_43",0.5039,2441,"TERA",NA
2006-09-14,"44_43",0.4481,2112,"TERA",NA
2006-09-30,"44_43",0.389,2112,"TERA",NA
2006-10-16,"44_43",0.3543,2112,"TERA",NA
2006-11-01,"44_43",0.3233,2112,"TERA",NA
2006-11-17,"44_43",0.3456,2112,"TERA",NA
2006-12-03,"44_43",0.2908,4164,"TERA",NA
2006-12-19,"44_43",0.2883,2116,"TERA",NA
2007-01-01,"44_43",0.2958,2112,"TERA",NA
2007-01-17,"44_43",0.2891,2112,"TERA",NA
2007-02-02,"44_43",0.3035,2112,"TERA",NA
2007-02-18,"44_43",0.243,2112,"TERA",NA
2007-03-06,"44_43",0.2706,2112,"TERA",NA
2007-03-22,"44_43",0.3918,2112,"TERA",NA
2007-04-07,"44_43",0.3596,4160,"TERA",NA
2007-04-23,"44_43",0.4573,4160,"TERA",NA
2007-05-09,"44_43",0.3802,4233,"TERA",NA
2007-05-25,"44_43",0.3431,37145,"TERA",NA
2007-06-10,"44_43",0.3637,2112,"TERA",NA
2007-06-26,"44_43",0.4732,2185,"TERA",NA
2007-07-12,"44_43",0.5358,4164,"TERA",NA
