siteID,scientificName,phenoPhase,year,est_01,est_05,est_50,est_95,est_99
ABBY,Corylus cornuta Marshall var. californica (A. DC.) Sharp,Breaking leaf buds,2017,70.2908972743254,90.2255817756204,134.949713374562,169.269914295277,180.841965774899
ABBY,Corylus cornuta Marshall var. californica (A. DC.) Sharp,Colored leaves,2017,186.92,215.89,271.1179,308.2184,319.7746
ABBY,Corylus cornuta Marshall var. californica (A. DC.) Sharp,Falling leaves,2017,189.38526940567,218.513062260215,274.018300739613,311.101600457365,323.109816625962
ABBY,Corylus cornuta Marshall var. californica (A. DC.) Sharp,Leaves,2017,53.0460258944475,85.5925290427082,184.128925476595,282.910375089104,320.736561078658
ABBY,Corylus cornuta Marshall var. californica (A. DC.) Sharp,Breaking leaf buds,2018,76.4749431324733,93.7480129692365,130.000501298966,156.137740826861,164.809977559747
ABBY,Corylus cornuta Marshall var. californica (A. DC.) Sharp,Leaves,2018,57.7280173930491,92.2449888949087,194.567172925154,296.376421692714,334.366197364527
ABBY,Corylus cornuta Marshall var. californica (A. DC.) Sharp,Breaking leaf buds,2019,26.6377475848408,48.4506335376924,125.147117551691,213.527193764214,249.579545282972
ABBY,Corylus cornuta Marshall var. californica (A. DC.) Sharp,Colored leaves,2019,201.700248480611,228.66277828039,279.088366168989,312.308205622755,322.767002958787
ABBY,Corylus cornuta Marshall var. californica (A. DC.) Sharp,Falling leaves,2019,205.310083791598,231.69646046441,281.115403116349,313.254778832956,323.384913976847
ABBY,Corylus cornuta Marshall var. californica (A. DC.) Sharp,Leaves,2019,61.1511746117114,97.2927947424116,203.977006488798,309.334579817555,349.311703499155
ABBY,Gaultheria shallon Pursh,Breaking leaf buds,2017,107.493140007199,121.670891714159,148.678126117959,166.302073654609,171.916003927695
ABBY,Gaultheria shallon Pursh,Breaking leaf buds,2018,106.601404030935,120.613481980046,146.456391343528,163.330201209854,168.383788546497
ABBY,Gaultheria shallon Pursh,Breaking leaf buds,2019,124.339222055379,133.942959115246,150.798333158612,161.214955696949,164.320033433069
ABBY,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,Breaking needle buds,2017,109.279077696785,122.922865345013,148.50634882591,165.163283907467,170.262943548037
ABBY,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,Breaking needle buds,2018,102.990046242303,116.927205600825,142.922914546168,160.118900983131,165.477708369882
ABBY,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,Breaking needle buds,2019,109.02613180056,121.112270981017,143.37839538453,157.618830434051,162.11159613163
DSNY,Andropogon virginicus L,Initial growth,2015,18.8409269951808,34.3605119589508,89.8573983541464,154.029452082331,180.381246542012
DSNY,Andropogon virginicus L,Leaves,2015,20.7371919077315,47.4343161310382,177.387181644227,372.258563903012,462.673594631306
DSNY,Andropogon virginicus L,Initial growth,2016,29.6406696515407,53.1010770136658,137.459223027096,233.456000333914,273.01843712303
DSNY,Andropogon virginicus L,Leaves,2016,20.3120915310693,45.9805166317123,170.274778930819,355.353691561725,440.126336519205
DSNY,Andropogon virginicus L,Initial growth,2017,27.9021189884657,52.0224722469148,140.50479283586,244.477373597947,287.503056904854
DSNY,Andropogon virginicus L,Leaves,2017,42.7315372632694,79.0023941267365,209.830969593017,363.411192697449,426.268889073574
DSNY,Andropogon virginicus L,Initial growth,2018,6.5495333808123,15.6103377103378,62.4747002716034,134.397015624301,169.220724641294
DSNY,Andropogon virginicus L,Leaves,2018,8.92728282062735,25.9225846679691,143.297422291563,373.6271579931,494.972949237415
DSNY,Andropogon virginicus L,Initial growth,2019,33.8199119246598,49.0017191192608,88.5632586714839,123.429947404103,135.611969751042
DSNY,Andropogon virginicus L,Leaves,2019,7.047,17.85,79.35857,182.6129,233.7286
DSNY,Aristida beyrichiana Trin. & Rupr.,Initial growth,2015,22.8649599378878,39.254967067641,92.6950197968477,150.32498377998,173.596522585599
DSNY,Aristida beyrichiana Trin. & Rupr.,Leaves,2015,19.6480907977417,45.7654935020989,174.174742197519,370.217775261818,461.763540459212
DSNY,Aristida beyrichiana Trin. & Rupr.,Initial growth,2016,52.9793224564224,80.3437012979702,156.504955449356,227.367768481543,253.237853108182
DSNY,Aristida beyrichiana Trin. & Rupr.,Leaves,2016,19.8226390697374,45.3057908450406,169.723337552027,356.278260310544,442.665195008559
DSNY,Aristida beyrichiana Trin. & Rupr.,Leaves,2017,42.946907322604,78.9876201651745,208.657154062022,360.297075672014,421.849426517006
DSNY,Aristida beyrichiana Trin. & Rupr.,Initial growth,2018,10.0751822705356,20.8849609378263,67.3740984994684,129.421335745204,156.443275290459
DSNY,Aristida beyrichiana Trin. & Rupr.,Leaves,2018,8.91358743650157,25.9852083765657,144.209229103275,376.558187810251,498.179299895901
DSNY,Aristida beyrichiana Trin. & Rupr.,Initial growth,2019,49.1764870020751,64.0276246935294,97.238089751952,122.894923973779,131.663590370657
DSNY,Aristida beyrichiana Trin. & Rupr.,Leaves,2019,6.62917126748953,17.0614001578511,78.369538843154,184.475355838951,236.049217123273
DSNY,Euthamia caroliniana (L.) Greene ex Porter & Britton,Initial growth,2015,30.2696855359272,51.3222724584789,117.059376409202,186.022788148548,212.028640337233
DSNY,Euthamia caroliniana (L.) Greene ex Porter & Britton,Leaves,2015,24.470766581007,53.5248453066562,186.217708941916,375.250098471164,459.649651924311
DSNY,Euthamia caroliniana (L.) Greene ex Porter & Britton,Initial growth,2016,82.0606721020764,106.251559297056,160.222237840954,202.007395842145,215.876911480983
