siteID,year,SixLeafDOY,SixBloomDOY
HARV,2017,104,138
ONAQ,2017,75,129
OSBS,2017,18,51
DSNY,2017,15,34
ABBY,2017,88,104
HARV,2018,114,138
ONAQ,2018,92,129
OSBS,2018,27,51
DSNY,2018,15,34
ABBY,2018,78,104
HARV,2019,108,138
ONAQ,2019,94,129
OSBS,2019,23,51
DSNY,2019,15,34
ABBY,2019,80,104
