"Pixel","Site","pixel_color","Lat_wgs","Lon_wgs","PFT_Mode","Type","Mode_Percentage","Heterogeneity_PFT","pft","Lat_sin","Lon_sin","pt1_lat","pt1_lon","pt2_lat","pt2_lon","pt3_lat","pt3_lon","pt4_lat","pt4_lon","pt5_lat","pt5_lon"
"43_44","NEON.D01.HARV.DP1.00033","#FF0000FF",42.5372987107234,-72.1727436828291,"Deciduous Broadleaf Forest","250m",0.694416749750748,3,4,4729937.14108527,-5913305.65713206,42.5380653869601,-72.1737841850656,42.5380653869601,-72.1717031805926,42.5365320250737,-72.1717031805926,42.5365320250737,-72.1737841850656,42.5380653869601,-72.1737841850656
"43_45","NEON.D01.HARV.DP1.00033","#FF4D00FF",42.5372987107234,-72.1706626783562,"Mixed Forest","250m",0.420114656031904,3,5,4729937.14108527,-5913135.15487741,42.5380653869601,-72.1717031805926,42.5380653869601,-72.1696221761197,42.5365320250737,-72.1696221761197,42.5365320250737,-72.1717031805926,42.5380653869601,-72.1717031805926
"43_43","NEON.D01.HARV.DP1.00033","#FF9900FF",42.5372987107234,-72.174824687302,"Deciduous Broadleaf Forest","250m",0.893782936903575,2,4,4729937.14108527,-5913476.15938671,42.5380653869601,-72.1758651895385,42.5380653869601,-72.1737841850656,42.5365320250737,-72.1737841850656,42.5365320250737,-72.1758651895385,42.5380653869601,-72.1758651895385
"42_43","NEON.D01.HARV.DP1.00033","#FFE500FF",42.5388320537837,-72.174824687302,"Mixed Forest","250m",0.430458624127617,3,5,4730107.64124657,-5913330.95293553,42.5395987111944,-72.1758651895385,42.5395987111944,-72.1737841850656,42.5380653869601,-72.1737841850656,42.5380653869601,-72.1758651895385,42.5395987111944,-72.1758651895385
"42_44","NEON.D01.HARV.DP1.00033","#CCFF00FF",42.5388320537837,-72.1727436828291,"Mixed Forest","250m",0.435283435408062,3,5,4730107.64124657,-5913160.4548676,42.5395987111944,-72.1737841850656,42.5395987111944,-72.1717031805926,42.5380653869601,-72.1717031805926,42.5380653869601,-72.1737841850656,42.5395987111944,-72.1737841850656
"42_45","NEON.D01.HARV.DP1.00033","#80FF00FF",42.5388320537837,-72.1706626783562,"Mixed Forest","250m",0.530729240848882,2,5,4730107.64124657,-5912989.95679966,42.5395987111944,-72.1717031805926,42.5395987111944,-72.1696221761197,42.5380653869601,-72.1696221761197,42.5380653869601,-72.1717031805926,42.5395987111944,-72.1717031805926
"44_45","NEON.D01.HARV.DP1.00033","#33FF00FF",42.5357653300111,-72.1706626783562,"Mixed Forest","250m",0.528337981835086,5,4,4729766.63673727,-5913280.35228542,42.5365320250737,-72.1717031805926,42.5365320250737,-72.1696221761197,42.5349986255356,-72.1696221761197,42.5349986255356,-72.1717031805926,42.5365320250737,-72.1717031805926
"44_44","NEON.D01.HARV.DP1.00033","#00FF19FF",42.5357653300111,-72.1727436828291,"Deciduous Broadleaf Forest","250m",0.883072302081098,2,4,4729766.63673727,-5913450.85872676,42.5365320250737,-72.1737841850656,42.5365320250737,-72.1717031805926,42.5349986255356,-72.1717031805926,42.5349986255356,-72.1737841850656,42.5365320250737,-72.1737841850656
"44_43","NEON.D01.HARV.DP1.00033","#00FF66FF",42.5357653300111,-72.174824687302,"Deciduous Broadleaf Forest","250m",0.989862690409783,2,4,4729766.63673727,-5913621.3651681,42.5365320250737,-72.1758651895385,42.5365320250737,-72.1737841850656,42.5349986255356,-72.1737841850656,42.5349986255356,-72.1758651895385,42.5365320250737,-72.1758651895385
