"Pixel","Site","pixel_color","Lat_wgs","Lon_wgs","PFT_Mode","Type","Mode_Percentage","Heterogeneity_PFT","pft","Lat_sin","Lon_sin","pt1_lat","pt1_lon","pt2_lat","pt2_lon","pt3_lat","pt3_lon","pt4_lat","pt4_lon","pt5_lat","pt5_lon"
"44_43","NEON.D03.OSBS.DP1.00033","#FF0000FF",29.6895134430933,-81.9944327694078,"Evergreen Needleleaf Forest","250m",0.343720756129515,4,8,3301326.99046628,-7920466.08222838,29.6904173464005,-81.9954732716442,29.6904173464005,-81.9933922671713,29.6886095316558,-81.9933922671713,29.6886095316558,-81.9954732716442,29.6904173464005,-81.9954732716442
"44_44","NEON.D03.OSBS.DP1.00033","#FF4D00FF",29.6895134430933,-81.9923517649349,"Shrubland","250m",0.539972193256865,4,8,3301326.99046628,-7920265.06217387,29.6904173464005,-81.9933922671713,29.6904173464005,-81.9913112626984,29.6886095316558,-81.9913112626984,29.6886095316558,-81.9933922671713,29.6904173464005,-81.9933922671713
"43_44","NEON.D03.OSBS.DP1.00033","#FF9900FF",29.6913212415771,-81.9923517649349,"Agriculture","250m",0.741560218978102,4,8,3301528.00871264,-7920122.5781229,29.692225128623,-81.9933922671713,29.692225128623,-81.9913112626984,29.6904173464005,-81.9913112626984,29.6904173464005,-81.9933922671713,29.692225128623,-81.9933922671713
"43_43","NEON.D03.OSBS.DP1.00033","#FFE500FF",29.6913212415771,-81.9944327694078,"Agriculture","250m",0.681207063117218,4,8,3301528.00871264,-7920323.5945611,29.692225128623,-81.9954732716442,29.692225128623,-81.9933922671713,29.6904173464005,-81.9933922671713,29.6904173464005,-81.9954732716442,29.692225128623,-81.9954732716442
"45_43","NEON.D03.OSBS.DP1.00033","#CCFF00FF",29.6877056120879,-81.9944327694078,"Shrubland","250m",0.841831258050665,3,8,3301125.96860367,-7920608.56457368,29.6886095316558,-81.9954732716442,29.6886095316558,-81.9933922671713,29.68680168439,-81.9933922671713,29.68680168439,-81.9954732716442,29.6886095316558,-81.9954732716442
"45_44","NEON.D03.OSBS.DP1.00033","#80FF00FF",29.6877056120879,-81.9923517649349,"Evergreen Needleleaf Forest","250m",0.602860669815371,4,8,3301125.96860367,-7920407.540903,29.6886095316558,-81.9933922671713,29.6886095316558,-81.9913112626984,29.68680168439,-81.9913112626984,29.68680168439,-81.9933922671713,29.6886095316558,-81.9933922671713
"44_42","NEON.D03.OSBS.DP1.00033","#33FF00FF",29.6895134430933,-81.9965137738807,"Evergreen Needleleaf Forest","250m",0.587978931044625,3,8,3301326.99046628,-7920667.10228289,29.6904173464005,-81.9975542761171,29.6904173464005,-81.9954732716442,29.6886095316558,-81.9954732716442,29.6886095316558,-81.9975542761171,29.6904173464005,-81.9975542761171
"43_42","NEON.D03.OSBS.DP1.00033","#00FF19FF",29.6913212415771,-81.9965137738807,"Evergreen Needleleaf Forest","250m",0.262156504937742,6,8,3301528.00871264,-7920524.6109993,29.692225128623,-81.9975542761171,29.692225128623,-81.9954732716442,29.6904173464005,-81.9954732716442,29.6904173464005,-81.9975542761171,29.692225128623,-81.9975542761171
"45_42","NEON.D03.OSBS.DP1.00033","#00FF66FF",29.6877056120879,-81.9965137738807,"Evergreen Needleleaf Forest","250m",0.610066015457278,2,8,3301125.96860367,-7920809.58824437,29.6886095316558,-81.9975542761171,29.6886095316558,-81.9954732716442,29.68680168439,-81.9954732716442,29.68680168439,-81.9975542761171,29.6886095316558,-81.9975542761171
